Timestamp,User,Location,Door Number,Reason
Tue Feb 28 2023 21:08:49 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 18 Level 2 Pedestrian Doo',18,No access.
Tue Feb 28 2023 21:09:33 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 20 L1 Double Glass Door A',20,No access.
Tue Feb 28 2023 21:09:54 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 26 Lvl 1 Staff Entry',26,No access.
Tue Feb 28 2023 21:11:29 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 27 Lvl 2 Courtyard Behind',27,No access.
Tue Feb 28 2023 22:03:57 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 18 Level 2 Pedestrian Doo',18,No access.
Tue Feb 28 2023 22:04:36 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 20 L1 Double Glass Door A',20,No access.
Tue Feb 28 2023 22:04:58 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 26 Lvl 1 Staff Entry',26,No access.
Tue Feb 28 2023 22:06:37 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 27 Lvl 2 Courtyard Behind',27,No access.
Tue Feb 28 2023 23:03:08 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 18 Level 2 Pedestrian Doo',18,No access.
Tue Feb 28 2023 23:03:48 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 20 L1 Double Glass Door A',20,No access.
Tue Feb 28 2023 23:04:09 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 26 Lvl 1 Staff Entry',26,No access.
Tue Feb 28 2023 23:06:30 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 27 Lvl 2 Courtyard Behind',27,No access.
Wed Mar 01 2023 00:07:46 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 18 Level 2 Pedestrian Doo',18,No access.
